------------------------------------------------------------
Server listening on TCP port 53525
TCP window size: 85.3 KByte (default)
------------------------------------------------------------
[  1] local 10.0.0.12 port 53525 connected with 10.0.0.2 port 60248
[ ID] Interval       Transfer     Bandwidth
[  1] 0.0000-1.0000 sec  60.0 Bytes   480 bits/sec
[  1] 1.0000-2.0000 sec  0.000 Bytes  0.000 bits/sec
[  1] 2.0000-3.0000 sec  0.000 Bytes  0.000 bits/sec
[  1] 3.0000-4.0000 sec  0.000 Bytes  0.000 bits/sec
[  1] 4.0000-5.0000 sec  11.3 KBytes  92.7 Kbits/sec
[  1] 5.0000-6.0000 sec  0.000 Bytes  0.000 bits/sec
[  1] 6.0000-7.0000 sec  0.000 Bytes  0.000 bits/sec
[  1] 7.0000-8.0000 sec  0.000 Bytes  0.000 bits/sec
[  1] 8.0000-9.0000 sec  0.000 Bytes  0.000 bits/sec
[  1] 9.0000-10.0000 sec  0.000 Bytes  0.000 bits/sec
[  1] 10.0000-11.0000 sec  0.000 Bytes  0.000 bits/sec
[  1] 11.0000-12.0000 sec  7.07 KBytes  57.9 Kbits/sec
[  1] 12.0000-13.0000 sec  0.000 Bytes  0.000 bits/sec
[  1] 13.0000-14.0000 sec  0.000 Bytes  0.000 bits/sec
[  1] 14.0000-15.0000 sec  0.000 Bytes  0.000 bits/sec
[  1] 15.0000-16.0000 sec  0.000 Bytes  0.000 bits/sec
[  1] 16.0000-17.0000 sec  0.000 Bytes  0.000 bits/sec
[  1] 17.0000-18.0000 sec  0.000 Bytes  0.000 bits/sec
[  1] 18.0000-19.0000 sec  0.000 Bytes  0.000 bits/sec
[  1] 19.0000-20.0000 sec  0.000 Bytes  0.000 bits/sec
[  1] 20.0000-21.0000 sec  0.000 Bytes  0.000 bits/sec
[  1] 21.0000-22.0000 sec  0.000 Bytes  0.000 bits/sec
[  1] 22.0000-23.0000 sec  0.000 Bytes  0.000 bits/sec
[  1] 23.0000-24.0000 sec  0.000 Bytes  0.000 bits/sec
[  1] 24.0000-25.0000 sec  0.000 Bytes  0.000 bits/sec
[  1] 25.0000-26.0000 sec  0.000 Bytes  0.000 bits/sec
[  1] 26.0000-27.0000 sec  0.000 Bytes  0.000 bits/sec
[  1] 27.0000-28.0000 sec  0.000 Bytes  0.000 bits/sec
[  1] 28.0000-29.0000 sec  0.000 Bytes  0.000 bits/sec
[  1] 29.0000-30.0000 sec  1.41 KBytes  11.6 Kbits/sec
[  1] 30.0000-31.0000 sec  0.000 Bytes  0.000 bits/sec
[  1] 31.0000-32.0000 sec  0.000 Bytes  0.000 bits/sec
[  1] 32.0000-33.0000 sec  0.000 Bytes  0.000 bits/sec
[  1] 33.0000-34.0000 sec  0.000 Bytes  0.000 bits/sec
[  1] 34.0000-35.0000 sec  0.000 Bytes  0.000 bits/sec
[  1] 35.0000-36.0000 sec  0.000 Bytes  0.000 bits/sec
[  1] 36.0000-37.0000 sec  0.000 Bytes  0.000 bits/sec
[  1] 37.0000-38.0000 sec  0.000 Bytes  0.000 bits/sec
[  1] 38.0000-39.0000 sec  0.000 Bytes  0.000 bits/sec
[  1] 39.0000-40.0000 sec  0.000 Bytes  0.000 bits/sec
[  1] 40.0000-41.0000 sec  0.000 Bytes  0.000 bits/sec
[  1] 41.0000-42.0000 sec  0.000 Bytes  0.000 bits/sec
[  1] 42.0000-43.0000 sec  0.000 Bytes  0.000 bits/sec
[  1] 43.0000-44.0000 sec  0.000 Bytes  0.000 bits/sec
[  1] 44.0000-45.0000 sec  0.000 Bytes  0.000 bits/sec
[  1] 45.0000-46.0000 sec  0.000 Bytes  0.000 bits/sec
[  1] 46.0000-47.0000 sec  0.000 Bytes  0.000 bits/sec
[  1] 47.0000-48.0000 sec  0.000 Bytes  0.000 bits/sec
[  1] 48.0000-49.0000 sec  1.41 KBytes  11.6 Kbits/sec
[  1] 49.0000-50.0000 sec  0.000 Bytes  0.000 bits/sec
[  1] 50.0000-51.0000 sec  0.000 Bytes  0.000 bits/sec
[  1] 51.0000-52.0000 sec  0.000 Bytes  0.000 bits/sec
[  1] 52.0000-53.0000 sec  0.000 Bytes  0.000 bits/sec
[  1] 53.0000-54.0000 sec  0.000 Bytes  0.000 bits/sec
[  1] 54.0000-55.0000 sec  0.000 Bytes  0.000 bits/sec
[  1] 55.0000-56.0000 sec  0.000 Bytes  0.000 bits/sec
[  1] 56.0000-57.0000 sec  0.000 Bytes  0.000 bits/sec
[  1] 57.0000-58.0000 sec  0.000 Bytes  0.000 bits/sec
[  1] 58.0000-59.0000 sec  0.000 Bytes  0.000 bits/sec
[  1] 59.0000-60.0000 sec  0.000 Bytes  0.000 bits/sec
[  1] 60.0000-61.0000 sec  0.000 Bytes  0.000 bits/sec
[  1] 61.0000-62.0000 sec  0.000 Bytes  0.000 bits/sec
[  1] 62.0000-63.0000 sec  0.000 Bytes  0.000 bits/sec
[  1] 63.0000-64.0000 sec  0.000 Bytes  0.000 bits/sec
[  1] 64.0000-65.0000 sec  0.000 Bytes  0.000 bits/sec
[  1] 65.0000-66.0000 sec  0.000 Bytes  0.000 bits/sec
[  1] 66.0000-67.0000 sec  0.000 Bytes  0.000 bits/sec
[  1] 67.0000-68.0000 sec  0.000 Bytes  0.000 bits/sec
[  1] 68.0000-69.0000 sec  0.000 Bytes  0.000 bits/sec
[  1] 69.0000-70.0000 sec  0.000 Bytes  0.000 bits/sec
[  1] 70.0000-71.0000 sec  0.000 Bytes  0.000 bits/sec
[  1] 71.0000-72.0000 sec  0.000 Bytes  0.000 bits/sec
[  1] 72.0000-73.0000 sec  0.000 Bytes  0.000 bits/sec
[  1] 73.0000-74.0000 sec  0.000 Bytes  0.000 bits/sec
[  1] 74.0000-75.0000 sec  0.000 Bytes  0.000 bits/sec
[  1] 75.0000-76.0000 sec  0.000 Bytes  0.000 bits/sec
[  1] 76.0000-77.0000 sec  0.000 Bytes  0.000 bits/sec
[  1] 77.0000-78.0000 sec  0.000 Bytes  0.000 bits/sec
[  1] 78.0000-79.0000 sec  0.000 Bytes  0.000 bits/sec
[  1] 79.0000-80.0000 sec  0.000 Bytes  0.000 bits/sec
[  1] 80.0000-81.0000 sec  0.000 Bytes  0.000 bits/sec
[  1] 81.0000-82.0000 sec  0.000 Bytes  0.000 bits/sec
[  1] 82.0000-83.0000 sec  0.000 Bytes  0.000 bits/sec
[  1] 83.0000-84.0000 sec  0.000 Bytes  0.000 bits/sec
[  1] 84.0000-85.0000 sec  0.000 Bytes  0.000 bits/sec
[  1] 85.0000-86.0000 sec  0.000 Bytes  0.000 bits/sec
[  1] 86.0000-87.0000 sec  0.000 Bytes  0.000 bits/sec
[  1] 87.0000-88.0000 sec  0.000 Bytes  0.000 bits/sec
[  1] 88.0000-89.0000 sec  0.000 Bytes  0.000 bits/sec
[  1] 89.0000-90.0000 sec  0.000 Bytes  0.000 bits/sec
[  1] 90.0000-91.0000 sec  0.000 Bytes  0.000 bits/sec
